timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-04-18,72.5000,72.6800,72.1600,72.1900,72.1900,631751,0.0000,1.0000
2018-04-17,72.7500,73.2100,72.6500,72.7600,72.7600,1905309,0.0000,1.0000
2018-04-16,73.2500,73.5500,72.6100,72.6200,72.6200,2001961,0.0000,1.0000
2018-04-13,73.3300,73.4200,73.0000,73.1600,73.1600,1251461,0.0000,1.0000
2018-04-12,73.3100,73.6200,72.9200,73.0900,73.0900,2959474,0.0000,1.0000
2018-04-11,74.0000,74.3000,73.3800,73.6400,73.6400,2523325,0.0000,1.0000
2018-04-10,73.1100,74.5000,72.8500,74.3600,74.3600,1945119,0.0000,1.0000
2018-04-09,73.1300,73.9200,73.1100,73.5500,73.5500,1313607,0.0000,1.0000
2018-04-06,73.7600,73.8300,73.3100,73.4900,73.4900,2268366,0.0000,1.0000
2018-04-05,72.7000,73.9200,72.3300,73.8000,73.8000,3530929,0.0000,1.0000
2018-04-04,72.1500,72.8000,71.8100,72.8000,72.8000,3646590,0.0000,1.0000
2018-04-03,72.3100,72.4300,71.4500,72.2600,72.2600,2576796,0.0000,1.0000
2018-03-28,72.1300,72.7600,72.0100,72.3100,72.3100,5292851,0.0000,1.0000
2018-03-27,72.3400,72.4000,71.8200,71.8600,71.8600,3132651,0.0000,1.0000
2018-03-26,72.6200,72.8700,72.2700,72.4300,72.4300,2576258,0.0000,1.0000
2018-03-25,72.4000,72.6500,71.7100,72.0200,72.0200,3114044,0.0000,1.0000
2018-03-22,74.1000,74.1600,72.8100,72.8100,72.8100,3617914,0.0000,1.0000
2018-03-21,75.4300,75.4400,74.6600,74.8700,74.8700,2530879,0.0000,1.0000
2018-03-20,75.4100,75.8300,75.1500,75.7800,75.7800,1926293,0.0000,1.0000
2018-03-19,74.8800,75.5800,74.6100,75.1900,75.1900,2354537,0.0000,1.0000
2018-03-18,75.6600,75.9800,74.8900,74.8900,74.8900,2364077,0.0000,1.0000
2018-03-15,75.9700,76.2500,75.0250,75.3400,75.3400,3791783,0.0000,1.0000
2018-03-14,77.0000,77.0000,75.6500,75.7800,75.7800,4006228,0.0000,1.0000
2018-03-13,76.5000,76.6400,76.1600,76.5500,76.5500,3068664,0.0000,1.0000
2018-03-12,77.3000,77.4100,76.6700,77.0500,77.0500,2990565,0.0000,1.0000
2018-03-11,77.4900,77.6600,77.1700,77.3600,77.3600,2828994,0.0000,1.0000
2018-03-08,76.3500,76.9500,76.2000,76.8700,76.8700,2944053,0.0000,1.0000
2018-03-07,75.7200,76.2000,75.5100,76.1700,76.1700,3278343,0.0000,1.0000
2018-03-06,75.2100,75.6800,75.0500,75.1400,75.1400,2458242,0.0000,1.0000
2018-03-05,75.7000,76.0500,75.4900,75.6900,75.6900,2280493,0.0000,1.0000
2018-03-04,75.7300,75.7300,74.8000,75.0300,75.0300,1541207,0.0000,1.0000
2018-03-01,75.8200,76.2000,75.1200,75.7300,75.7300,2447987,0.0000,1.0000
2018-02-28,76.0600,76.3900,75.9100,76.0600,76.0600,1695236,0.0000,1.0000
2018-02-27,76.6000,76.8900,76.1200,76.3900,76.3900,3744085,0.0000,1.0000
2018-02-26,77.0000,77.2400,76.7100,76.7600,76.7600,2736893,0.0000,1.0000
2018-02-25,75.9800,76.6000,75.6000,76.6000,76.6000,3450024,0.0000,1.0000
2018-02-22,75.0200,75.6800,74.4100,75.4600,75.4600,4526316,0.0000,1.0000
2018-02-21,74.5200,74.8000,74.0700,74.6500,74.6500,2473068,0.0000,1.0000
2018-02-20,74.2800,74.6500,73.9200,74.3300,74.3300,2210925,0.0000,1.0000
2018-02-19,74.2500,74.3800,73.8300,74.2600,74.2600,2238370,0.0000,1.0000
2018-02-18,74.1000,74.5900,74.0200,74.4000,74.4000,1449284,0.0000,1.0000
2018-02-15,74.0000,74.8900,74.0000,74.0200,74.0200,2222914,0.0000,1.0000
2018-02-14,74.2500,74.2900,73.7400,73.8600,73.8600,3596362,0.0000,1.0000
2018-02-13,74.2000,74.3000,73.7600,73.9800,73.9800,4217278,0.0000,1.0000
2018-02-12,76.2300,76.7400,75.8800,76.3000,73.4429,3334988,0.0000,1.0000
2018-02-11,76.3900,76.5000,75.5600,75.8800,73.0386,3411170,0.0000,1.0000
2018-02-08,75.7500,76.4700,75.4800,76.2500,73.3948,3621859,0.0000,1.0000
2018-02-07,76.8000,77.2100,76.5100,76.5100,73.6450,3493180,0.0000,1.0000
2018-02-06,78.6100,78.9600,76.7700,76.7900,73.9146,5676630,0.0000,1.0000
2018-02-05,78.4400,78.5000,76.6900,77.4000,74.5017,5684063,0.0000,1.0000
2018-02-04,79.9600,80.2700,79.5200,79.8000,76.8118,2393475,0.0000,1.0000
2018-02-01,79.9000,81.1800,79.9000,80.7900,77.7648,2631703,0.0000,1.0000
2018-01-31,79.0000,80.1550,78.9000,80.0100,77.0140,2965072,0.0000,1.0000
2018-01-30,78.7600,79.3200,78.6200,78.8700,75.9167,2953798,0.0000,1.0000
2018-01-29,78.8100,79.4600,78.7500,79.0900,76.1284,1702998,0.0000,1.0000
2018-01-28,78.6500,79.5400,78.5300,79.1900,76.2247,2385820,0.0000,1.0000
2018-01-24,78.4600,78.6700,78.0300,78.6500,75.7049,3723004,0.0000,1.0000
2018-01-23,79.3000,79.4800,78.6500,78.6500,75.7049,1923320,0.0000,1.0000
2018-01-22,79.1100,79.5800,79.1000,79.2500,76.2824,2033594,0.0000,1.0000
2018-01-21,79.7000,79.7200,78.6300,78.8500,75.8974,2414568,0.0000,1.0000
2018-01-18,80.1000,80.4200,79.8300,79.8300,76.8407,1557603,0.0000,1.0000
2018-01-17,80.2900,80.5000,79.9000,79.9000,76.9081,2093401,0.0000,1.0000
2018-01-16,80.2100,80.3900,79.8600,80.1100,77.1102,2066964,0.0000,1.0000
2018-01-15,81.0200,81.1900,80.5000,80.5800,77.5626,1518213,0.0000,1.0000
2018-01-14,81.3000,81.4150,80.7200,81.1700,78.1305,1431419,0.0000,1.0000
2018-01-11,81.3800,81.5000,80.6900,80.8800,77.8514,1781313,0.0000,1.0000
2018-01-10,81.7400,81.7400,81.0800,81.3000,78.2557,2791094,0.0000,1.0000
2018-01-09,82.4700,82.6600,81.6100,81.6100,78.5541,1944703,0.0000,1.0000
2018-01-08,81.9900,82.4600,81.9800,82.1900,79.1124,3283522,0.0000,1.0000
2018-01-07,81.4000,81.7500,81.3000,81.6200,78.5637,1293549,0.0000,1.0000
2018-01-04,80.5400,81.2500,80.3700,81.1600,78.1209,2208531,0.0000,1.0000
2018-01-03,80.4800,80.4800,79.8100,79.9700,76.9755,1596303,0.0000,1.0000
2018-01-02,80.4700,80.6450,80.0600,80.1400,77.1391,1349269,0.0000,1.0000
2018-01-01,80.3400,80.3400,79.7800,80.2200,77.2161,1284609,0.0000,1.0000
2017-12-28,80.6000,80.6750,80.0400,80.3400,77.3316,1459457,0.0000,1.0000
2017-12-27,80.4800,80.6800,80.3300,80.4900,77.4760,1610000,0.0000,1.0000
2017-12-26,80.3900,80.6700,80.0300,80.1600,77.1584,1054327,0.0000,1.0000
2017-12-21,80.0000,80.6800,79.9500,80.3900,77.3797,5288058,0.0000,1.0000
2017-12-20,79.9500,80.6000,79.8100,79.8100,76.8215,4684411,0.0000,1.0000
2017-12-19,80.2200,80.7500,80.2200,80.5700,77.5530,2436692,0.0000,1.0000
2017-12-18,80.2500,80.5500,80.1300,80.3000,77.2931,2519546,0.0000,1.0000
2017-12-17,80.4900,80.5300,79.9200,80.0100,77.0140,2198711,0.0000,1.0000
2017-12-14,80.1300,80.2000,79.7400,79.9400,76.9466,3591509,0.0000,1.0000
2017-12-13,79.7000,80.5000,79.5500,80.4400,77.4279,2587433,0.0000,1.0000
2017-12-12,80.3600,80.8400,80.0000,80.3100,77.3027,2179700,0.0000,1.0000
2017-12-11,80.0600,80.3600,80.0100,80.3600,77.3509,1774262,0.0000,1.0000
2017-12-10,80.0000,80.3100,79.8300,80.0000,77.0043,2437262,0.0000,1.0000
2017-12-07,79.0400,79.8500,78.8600,79.6200,76.6386,1646492,0.0000,1.0000
2017-12-06,78.4700,79.0300,78.3000,78.9700,76.0129,2897735,0.0000,1.0000
2017-12-05,78.5000,79.0600,78.4900,78.6000,75.6568,2528041,0.0000,1.0000
2017-12-04,78.5000,78.7400,78.0000,78.7400,75.7915,2002301,0.0000,1.0000
2017-12-03,79.3200,79.3400,78.5000,78.9200,75.9648,2255875,0.0000,1.0000
2017-11-30,79.7100,79.9500,78.8800,79.1700,76.2054,2462019,0.0000,1.0000
2017-11-29,79.7000,79.7000,78.7600,79.4300,76.4557,7647062,0.0000,1.0000
2017-11-28,80.8800,81.4100,80.8400,80.9800,77.9477,2455168,0.0000,1.0000
2017-11-27,80.2000,80.8000,80.2000,80.3700,77.3605,2758590,0.0000,1.0000
2017-11-26,80.4000,80.9300,80.2200,80.5000,77.4856,1984410,0.0000,1.0000
2017-11-23,80.8000,80.8000,80.3700,80.5700,77.5530,4357002,0.0000,1.0000
2017-11-22,80.9000,81.0000,80.4500,80.8800,77.8514,2280393,0.0000,1.0000
2017-11-21,81.0000,81.3300,80.6700,81.0500,78.0150,2826948,0.0000,1.0000
2017-11-20,80.8800,80.9300,80.3300,80.5800,77.5626,1968535,0.0000,1.0000
2017-11-19,80.4800,80.7600,80.2600,80.6100,77.5915,1964641,0.0000,1.0000
2017-11-16,81.2500,81.3800,80.7900,80.9200,77.8899,1810176,0.0000,1.0000
2017-11-15,80.3800,81.0900,80.3500,80.8200,77.7936,2280307,0.0000,1.0000
2017-11-14,80.8000,81.2900,80.4700,80.5800,77.5626,2686552,0.0000,1.0000
2017-11-13,81.0400,81.3700,80.6300,80.8200,77.7936,2305322,0.0000,1.0000
2017-11-12,80.9700,81.5600,80.8900,81.5200,78.4674,2477127,0.0000,1.0000
2017-11-09,80.5100,81.0000,80.4300,80.8500,77.8225,1869028,0.0000,1.0000
2017-11-08,80.9300,81.0000,80.1600,80.9400,77.9092,3575732,0.0000,1.0000
2017-11-07,78.8800,80.4800,78.5200,80.2700,77.2642,5921525,0.0000,1.0000
2017-11-06,77.6700,78.2500,77.4400,78.2000,75.2718,1956778,0.0000,1.0000
2017-11-05,77.7900,77.7950,77.1300,77.4000,74.5017,1712484,0.0000,1.0000
2017-11-02,77.4700,77.8900,77.2100,77.7900,74.8771,1382869,0.0000,1.0000
2017-11-01,77.8700,77.8700,77.1100,77.4100,74.5113,1989473,0.0000,1.0000
2017-10-31,77.7900,78.2900,77.3000,77.6700,74.7616,2665668,0.0000,1.0000
2017-10-30,78.1200,78.2100,77.6300,77.6300,74.7231,1887247,0.0000,1.0000
2017-10-29,78.5200,78.5300,77.7200,78.1200,75.1948,1583550,0.0000,1.0000
2017-10-26,79.0500,79.0800,77.8200,78.2400,75.3103,4046736,0.0000,1.0000
2017-10-25,78.6800,78.9900,78.2400,78.9900,76.0322,2283904,0.0000,1.0000
2017-10-24,79.0400,79.2800,78.3700,78.6300,75.6856,1788933,0.0000,1.0000
2017-10-23,78.7400,78.9500,78.0450,78.6600,75.7145,1627596,0.0000,1.0000
2017-10-22,79.2300,79.3600,78.6200,78.6900,75.7434,1604897,0.0000,1.0000
2017-10-19,78.6500,79.1900,78.4000,78.9700,76.0129,1830548,0.0000,1.0000
2017-10-18,78.9500,79.1000,78.4500,78.7400,75.7915,2991650,0.0000,1.0000
2017-10-17,78.2700,78.5850,77.7900,78.3700,75.4354,2040078,0.0000,1.0000
2017-10-16,77.5200,78.2500,77.5200,78.2500,75.3199,3051278,0.0000,1.0000
2017-10-15,76.9500,77.4600,76.8600,77.2000,74.3092,2349172,0.0000,1.0000
2017-10-12,76.3000,76.9200,76.1500,76.6600,73.7894,1728054,0.0000,1.0000
2017-10-11,76.3800,76.4500,75.8300,76.4100,73.5488,1863391,0.0000,1.0000
2017-10-10,76.2300,76.6800,76.0700,76.3500,73.4910,2088704,0.0000,1.0000
2017-10-09,76.3500,76.6500,76.0600,76.3500,73.4910,1578815,0.0000,1.0000
2017-10-08,76.6000,76.9200,76.3500,76.7100,73.8375,2033172,0.0000,1.0000
2017-10-05,76.0800,76.3000,75.7600,76.3000,73.4429,2659635,0.0000,1.0000
2017-10-04,75.5400,75.8900,74.8300,75.3200,72.4996,1854762,0.0000,1.0000
2017-10-03,75.2000,75.5000,74.6600,75.4000,72.5766,3880298,0.0000,1.0000
2017-10-02,76.5500,76.6500,75.1500,75.1600,72.3456,3317515,0.0000,1.0000
2017-10-01,75.8100,76.4800,75.5200,76.3400,73.4814,2356243,0.0000,1.0000
2017-09-29,75.0100,75.4600,74.4000,75.2500,72.4322,4989845,0.0000,1.0000
2017-09-28,75.3500,75.3700,74.8600,75.1200,72.3071,2961838,0.0000,1.0000
2017-09-27,75.0800,75.3500,74.6100,74.8500,72.0472,2688235,0.0000,1.0000
2017-09-26,75.8000,75.8600,75.0800,75.1000,72.2878,2552948,0.0000,1.0000
2017-09-25,77.0300,77.2700,75.7400,75.8100,72.9712,2003512,0.0000,1.0000
2017-09-22,76.2000,77.0500,76.1800,76.6200,73.7509,2170239,0.0000,1.0000
2017-09-21,76.0000,76.8900,75.9000,76.0700,73.2215,4104401,0.0000,1.0000
2017-09-20,76.0000,76.3400,75.6500,76.2900,73.4333,1621577,0.0000,1.0000
2017-09-19,76.9500,77.3000,76.2800,76.2800,73.4236,2185898,0.0000,1.0000
2017-09-18,76.7500,77.0300,76.6700,76.6900,73.8183,2991037,0.0000,1.0000
2017-09-15,76.0000,76.6300,75.9500,76.2800,73.4236,3774238,0.0000,1.0000
2017-09-14,76.7500,77.1000,76.1400,76.7500,73.8761,2968713,0.0000,1.0000
2017-09-13,76.9000,77.0000,76.2100,76.5500,73.6835,2788007,0.0000,1.0000
2017-09-12,74.6500,75.9500,74.6200,75.9200,73.0771,4825830,0.0000,1.0000
2017-09-11,73.5000,74.3900,73.5000,74.2600,71.4793,2813596,0.0000,1.0000
2017-09-08,74.0500,74.1100,73.2000,73.2400,70.4975,3349581,0.0000,1.0000
2017-09-07,73.8500,74.4400,73.8300,73.9800,71.2098,3214877,0.0000,1.0000
2017-09-06,74.2200,74.2800,73.4800,73.7000,70.9403,3618617,0.0000,1.0000
2017-09-05,74.4000,74.5900,73.5900,74.5900,71.7969,5131918,0.0000,1.0000
2017-09-04,75.1000,75.2900,73.6300,74.4100,71.6237,3810853,0.0000,1.0000
2017-09-01,76.0000,76.2000,75.0800,75.4800,72.6536,4684590,0.0000,1.0000
2017-08-31,75.2700,75.9600,75.1600,75.8000,72.9616,4751356,0.0000,1.0000
2017-08-30,75.7000,75.7800,75.0400,75.3700,72.5477,4795687,0.0000,1.0000
2017-08-29,76.0000,76.0800,75.3000,75.7300,72.8942,5740096,0.0000,1.0000
2017-08-28,77.4900,77.4900,76.4700,76.6800,73.8087,4353930,0.0000,1.0000
2017-08-25,77.2000,77.8700,76.9700,77.7200,74.8097,4825992,0.0000,1.0000
2017-08-24,77.6200,77.9700,77.2300,77.5500,74.6461,4899752,0.0000,1.0000
2017-08-23,79.1100,79.2500,78.0100,78.2100,75.2814,3888666,0.0000,1.0000
2017-08-22,78.4000,78.6600,77.9300,78.6600,75.7145,2779226,0.0000,1.0000
2017-08-21,78.8400,78.8400,77.5900,78.4100,75.4739,4785442,0.0000,1.0000
2017-08-18,78.5000,79.2600,78.3300,79.0900,76.1284,3307759,0.0000,1.0000
2017-08-17,80.4500,80.6200,79.1600,79.5500,76.5712,3543830,0.0000,1.0000
2017-08-16,78.1600,79.8400,78.1500,79.8400,76.8503,4991112,0.0000,1.0000
2017-08-15,81.9300,81.9500,81.1400,81.2500,75.0449,2846024,0.0000,1.0000
2017-08-14,80.8400,81.6900,80.7500,81.3100,75.1003,3023668,0.0000,1.0000
2017-08-11,80.4200,80.8000,79.9500,80.5000,74.3522,4740282,0.0000,1.0000
2017-08-10,81.2600,81.7000,80.8200,81.0500,74.8602,5300676,0.0000,1.0000
2017-08-09,81.1900,81.7800,80.7400,81.1100,74.9156,4336391,0.0000,1.0000
2017-08-08,81.7000,81.9900,80.3700,80.6500,74.4907,3861332,0.0000,1.0000
2017-08-07,80.1100,82.0000,80.0000,81.5200,75.2943,4595336,0.0000,1.0000
2017-08-04,82.5100,82.6500,80.5700,80.7200,74.5554,9239819,0.0000,1.0000
2017-08-03,84.0900,84.6900,83.7800,83.9700,77.5572,2372029,0.0000,1.0000
2017-08-02,84.8000,84.9000,83.9800,84.2300,77.7973,1636016,0.0000,1.0000
2017-08-01,83.9200,84.6850,83.9200,84.5400,78.0836,3191137,0.0000,1.0000
2017-07-31,83.9900,84.2800,83.5000,83.7300,77.3355,2217082,0.0000,1.0000
2017-07-28,84.3000,84.5900,83.5400,83.7600,77.3632,5459225,0.0000,1.0000
2017-07-27,84.8100,85.1200,84.5400,85.0500,78.5547,1862642,0.0000,1.0000
2017-07-26,84.9500,85.1000,84.6550,84.8100,78.3330,2021200,0.0000,1.0000
2017-07-25,83.7900,84.6000,83.6900,84.2800,77.8435,2286026,0.0000,1.0000
2017-07-24,83.2300,83.5700,82.9800,83.5700,77.1877,2062552,0.0000,1.0000
2017-07-21,83.6200,84.6200,83.4300,83.9700,77.5572,2540691,0.0000,1.0000
2017-07-20,84.9800,85.0500,84.0500,84.5600,78.1021,4596038,0.0000,1.0000
2017-07-19,83.0900,84.1000,83.0100,83.8100,77.4094,5554084,0.0000,1.0000
2017-07-18,82.9800,83.0800,81.3000,81.4000,75.1834,3623819,0.0000,1.0000
2017-07-17,82.9000,83.2800,82.6000,82.9400,76.6058,1406194,0.0000,1.0000
2017-07-14,82.8000,83.2000,82.6800,83.1200,76.7721,2669648,0.0000,1.0000
2017-07-13,82.8000,82.9100,82.1800,82.5600,76.2548,2903674,0.0000,1.0000
2017-07-12,82.7400,82.7500,81.7800,82.1200,75.8484,3007799,0.0000,1.0000
2017-07-11,82.5000,83.2800,82.1000,82.9400,76.6058,2325760,0.0000,1.0000
2017-07-10,82.6000,83.1500,82.4900,82.8100,76.4857,2873284,0.0000,1.0000
2017-07-07,82.1400,82.6200,81.8000,82.1300,75.8577,3770476,0.0000,1.0000
2017-07-06,83.9200,83.9600,82.9100,83.0100,76.6705,2456675,0.0000,1.0000
2017-07-05,83.8600,83.8900,83.3700,83.6400,77.2524,2363393,0.0000,1.0000
2017-07-04,83.4200,84.2700,83.3300,84.0000,77.5849,4322331,0.0000,1.0000
2017-07-03,82.8300,83.1900,82.1500,82.4400,76.1440,2255385,0.0000,1.0000
2017-06-30,83.4600,83.4800,82.8100,82.8100,76.4857,7045122,0.0000,1.0000
2017-06-29,83.9700,84.3700,83.7900,84.0200,77.6033,3805387,0.0000,1.0000
2017-06-28,81.8000,82.8700,81.6400,82.7100,76.3934,2878203,0.0000,1.0000
2017-06-27,81.5500,82.3200,81.5500,82.0800,75.8115,2265951,0.0000,1.0000
2017-06-26,81.3400,81.7200,81.2000,81.5500,75.3220,2923487,0.0000,1.0000
2017-06-23,81.7000,81.7800,80.9100,81.2500,75.0449,2976353,0.0000,1.0000
2017-06-22,81.0100,82.2350,81.0000,81.8800,75.6268,2808912,0.0000,1.0000
2017-06-21,81.6900,81.7300,80.7300,80.8000,74.6292,3260528,0.0000,1.0000
2017-06-20,82.8700,83.0600,81.8900,82.2400,75.9593,4348940,0.0000,1.0000
2017-06-19,81.9400,82.7900,81.9100,82.7900,76.4673,2477905,0.0000,1.0000
2017-06-16,81.7000,82.2000,81.6300,81.8600,75.6083,2920351,0.0000,1.0000
2017-06-15,82.6000,82.6300,81.5000,81.7000,75.4605,10569256,0.0000,1.0000
2017-06-14,81.3300,82.3000,81.3000,82.3000,76.0147,5736170,0.0000,1.0000
2017-06-13,79.1900,81.1300,79.1900,81.1300,74.9340,4117682,0.0000,1.0000
2017-06-09,78.9800,79.4600,78.6600,79.1900,73.1422,2233945,0.0000,1.0000
2017-06-08,78.0100,79.3000,77.9700,79.0500,73.0129,2149650,0.0000,1.0000
2017-06-07,78.2200,78.8900,77.6500,78.5000,72.5049,2732421,0.0000,1.0000
2017-06-06,79.0000,79.0800,78.1500,78.1500,72.1816,3629209,0.0000,1.0000
2017-06-05,80.1200,80.1200,79.0000,79.3100,73.2530,3534212,0.0000,1.0000
2017-06-02,80.0000,80.4800,79.7200,80.3800,74.2413,2916748,0.0000,1.0000
2017-06-01,79.5000,80.1400,79.1500,79.6200,73.5394,2564771,0.0000,1.0000
2017-05-31,79.5000,80.4650,79.1300,79.6500,73.5671,5964569,0.0000,1.0000
2017-05-30,78.9500,79.6600,78.5000,79.4400,73.3731,2882295,0.0000,1.0000
2017-05-29,80.2900,80.2900,78.8900,78.8900,72.8651,3602822,0.0000,1.0000
2017-05-26,81.3000,81.3000,80.1400,80.1400,74.0196,5605604,0.0000,1.0000
2017-05-25,80.9100,81.3000,80.0600,81.2600,75.0541,2409723,0.0000,1.0000
2017-05-24,81.3800,81.4500,80.7700,81.0000,74.8140,2510225,0.0000,1.0000
2017-05-23,81.2900,81.8400,80.8000,80.9400,74.7586,1957715,0.0000,1.0000
2017-05-22,80.9000,81.4700,80.8000,81.2700,75.0634,2390744,0.0000,1.0000
2017-05-19,80.8000,81.1900,80.0500,80.2300,74.1028,2778823,0.0000,1.0000
2017-05-18,80.0000,80.9300,79.9300,80.8100,74.6385,3755954,0.0000,1.0000
2017-05-17,82.2200,82.2900,80.8500,80.9700,74.7863,2517183,0.0000,1.0000
2017-05-16,82.6200,82.9000,82.2900,82.6100,76.3010,2487053,0.0000,1.0000
2017-05-15,81.5600,82.4000,81.0400,82.2400,75.9593,2715933,0.0000,1.0000
2017-05-12,81.7700,82.2700,80.9000,81.6700,75.4328,2360590,0.0000,1.0000
2017-05-11,82.2100,82.9700,81.9150,82.0700,75.8023,3514061,0.0000,1.0000
2017-05-10,79.8900,82.5850,79.5500,81.7300,75.4882,5545634,0.0000,1.0000
2017-05-09,84.0000,84.2800,81.9200,82.0200,75.7561,6053564,0.0000,1.0000
2017-05-08,85.3200,85.4400,84.5100,85.3000,78.7856,3038821,0.0000,1.0000
2017-05-05,85.0000,85.4800,83.9500,84.4000,77.9543,3176468,0.0000,1.0000
2017-05-04,85.8000,85.8000,84.3200,84.6300,78.1667,3812058,0.0000,1.0000
2017-05-03,86.5200,86.9400,85.2000,85.3500,78.8318,3504467,0.0000,1.0000
2017-05-02,87.2000,87.2100,86.2350,86.8300,80.1987,3788195,0.0000,1.0000
2017-05-01,87.0900,87.6900,86.7800,87.4600,80.7806,2857545,0.0000,1.0000
2017-04-28,87.6600,87.7400,86.5500,87.4000,80.7252,5588829,0.0000,1.0000
2017-04-27,87.1000,87.6800,87.0200,87.6600,80.9653,3015091,0.0000,1.0000
2017-04-26,86.2300,87.3900,86.2300,87.1100,80.4574,3687917,0.0000,1.0000
2017-04-24,85.9800,86.4600,85.7500,86.2300,79.6446,2042180,0.0000,1.0000
2017-04-21,85.4900,86.0000,85.4700,85.6400,79.0996,1959863,0.0000,1.0000
2017-04-20,84.9300,85.3100,84.7600,85.1300,78.6286,2038116,0.0000,1.0000
2017-04-19,84.9600,85.2500,84.5000,84.6200,78.1575,4178388,0.0000,1.0000
2017-04-18,86.2500,86.5400,85.2150,85.5100,78.9795,2575349,0.0000,1.0000
2017-04-13,86.2800,86.5000,86.0000,86.2500,79.6630,1787101,0.0000,1.0000
2017-04-12,86.3700,86.6800,85.9800,86.6800,80.0602,2830371,0.0000,1.0000
2017-04-11,85.5800,86.3400,85.2700,86.1000,79.5245,2693938,0.0000,1.0000
2017-04-10,85.2100,85.5000,84.9700,85.4900,78.9611,2156492,0.0000,1.0000
2017-04-07,85.2000,85.5200,84.0900,84.7700,78.2961,2630263,0.0000,1.0000
2017-04-06,85.5000,85.6200,84.4500,84.7900,78.3145,2770424,0.0000,1.0000
2017-04-05,86.4900,86.5200,85.3500,85.9900,79.4229,3171203,0.0000,1.0000
2017-04-04,86.1200,86.2600,85.5800,85.9300,79.3675,1752542,0.0000,1.0000
2017-04-03,85.4300,86.4400,85.2600,86.3900,79.7923,1753298,0.0000,1.0000
2017-03-30,86.1600,86.6500,85.9100,85.9100,79.3490,5692472,0.0000,1.0000
2017-03-29,86.1300,86.6000,85.6000,86.5200,79.9124,2691755,0.0000,1.0000
2017-03-28,85.4000,86.2800,85.3500,86.1400,79.5614,3605758,0.0000,1.0000
2017-03-27,83.7500,85.2600,83.7250,85.2600,78.7486,4359013,0.0000,1.0000
2017-03-26,82.7400,83.6000,82.5000,83.4000,77.0307,2770782,0.0000,1.0000
2017-03-23,83.0000,83.8900,82.6800,83.3800,77.0122,2079658,0.0000,1.0000
2017-03-22,82.6000,82.9500,82.3100,82.9500,76.6150,2794213,0.0000,1.0000
2017-03-21,83.2600,83.4000,82.4800,82.7100,76.3934,3185116,0.0000,1.0000
2017-03-20,84.3900,84.4200,83.8900,84.4200,77.9728,1817155,0.0000,1.0000
2017-03-19,84.4000,84.6300,84.0300,84.4300,77.9820,1200277,0.0000,1.0000
2017-03-16,84.7000,84.9900,84.3400,84.7700,78.2961,2872248,0.0000,1.0000
2017-03-15,84.9900,85.2000,84.0500,84.5400,78.0836,5042921,0.0000,1.0000
