timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2017-12-19,80.25,80.55,80.13,80.3,77.2931,2519546,0.0,1.0
2017-12-18,80.49,80.53,79.92,80.01,77.014,2198711,0.0,1.0
2017-12-15,80.13,80.2,79.74,79.94,76.9466,3591509,0.0,1.0
2017-12-14,79.7,80.5,79.55,80.44,77.4279,2587433,0.0,1.0
2017-12-13,80.36,80.84,80.0,80.31,77.3027,2179700,0.0,1.0
2017-12-12,80.06,80.36,80.01,80.36,77.3509,1774262,0.0,1.0
2017-12-11,80.0,80.31,79.83,80.0,77.0043,2437262,0.0,1.0
2017-12-08,79.04,79.85,78.86,79.62,76.6386,1646492,0.0,1.0
2017-12-07,78.47,79.03,78.3,78.97,76.0129,2897735,0.0,1.0
2017-12-06,78.5,79.06,78.49,78.6,75.6568,2528041,0.0,1.0
2017-12-05,78.5,78.74,78.0,78.74,75.7915,2002301,0.0,1.0
2017-12-04,79.32,79.34,78.5,78.92,75.9648,2255875,0.0,1.0
2017-12-01,79.71,79.95,78.88,79.17,76.2054,2462019,0.0,1.0
2017-11-30,79.7,79.7,78.76,79.43,76.4557,7647062,0.0,1.0
2017-11-29,80.88,81.41,80.84,80.98,77.9477,2455168,0.0,1.0
2017-11-28,80.2,80.8,80.2,80.37,77.3605,2758590,0.0,1.0
2017-11-27,80.4,80.93,80.22,80.5,77.4856,1984410,0.0,1.0
2017-11-24,80.8,80.8,80.37,80.57,77.553,4357002,0.0,1.0
2017-11-23,80.9,81.0,80.45,80.88,77.8514,2280393,0.0,1.0
2017-11-22,81.0,81.33,80.67,81.05,78.015,2826948,0.0,1.0
2017-11-21,80.88,80.93,80.33,80.58,77.5626,1968535,0.0,1.0
2017-11-20,80.48,80.76,80.26,80.61,77.5915,1964641,0.0,1.0
2017-11-17,81.25,81.38,80.79,80.92,77.8899,1810176,0.0,1.0
2017-11-16,80.38,81.09,80.35,80.82,77.7936,2280307,0.0,1.0
2017-11-15,80.8,81.29,80.47,80.58,77.5626,2686552,0.0,1.0
2017-11-14,81.04,81.37,80.63,80.82,77.7936,2305322,0.0,1.0
2017-11-13,80.97,81.56,80.89,81.52,78.4674,2477127,0.0,1.0
2017-11-10,80.51,81.0,80.43,80.85,77.8225,1869028,0.0,1.0
2017-11-09,80.93,81.0,80.16,80.94,77.9092,3575732,0.0,1.0
2017-11-08,78.88,80.48,78.52,80.27,77.2642,5921525,0.0,1.0
2017-11-07,77.67,78.25,77.44,78.2,75.2718,1956778,0.0,1.0
2017-11-06,77.79,77.795,77.13,77.4,74.5017,1712484,0.0,1.0
2017-11-03,77.47,77.89,77.21,77.79,74.8771,1382869,0.0,1.0
2017-11-02,77.87,77.87,77.11,77.41,74.5113,1989473,0.0,1.0
2017-11-01,77.79,78.29,77.3,77.67,74.7616,2665668,0.0,1.0
2017-10-31,78.12,78.21,77.63,77.63,74.7231,1887247,0.0,1.0
2017-10-30,78.52,78.53,77.72,78.12,75.1948,1583550,0.0,1.0
2017-10-27,79.05,79.08,77.82,78.24,75.3103,4046736,0.0,1.0
2017-10-26,78.68,78.99,78.24,78.99,76.0322,2283904,0.0,1.0
2017-10-25,79.04,79.28,78.37,78.63,75.6856,1788933,0.0,1.0
2017-10-24,78.74,78.95,78.045,78.66,75.7145,1627596,0.0,1.0
2017-10-23,79.23,79.36,78.62,78.69,75.7434,1604897,0.0,1.0
2017-10-20,78.65,79.19,78.4,78.97,76.0129,1830548,0.0,1.0
2017-10-19,78.95,79.1,78.45,78.74,75.7915,2991650,0.0,1.0
2017-10-18,78.27,78.585,77.79,78.37,75.4354,2040078,0.0,1.0
2017-10-17,77.52,78.25,77.52,78.25,75.3199,3051278,0.0,1.0
2017-10-16,76.95,77.46,76.86,77.2,74.3092,2349172,0.0,1.0
2017-10-13,76.3,76.92,76.15,76.66,73.7894,1728054,0.0,1.0
2017-10-12,76.38,76.45,75.83,76.41,73.5488,1863391,0.0,1.0
2017-10-11,76.23,76.68,76.07,76.35,73.491,2088704,0.0,1.0
2017-10-10,76.35,76.65,76.06,76.35,73.491,1578815,0.0,1.0
2017-10-09,76.6,76.92,76.35,76.71,73.8375,2033172,0.0,1.0
2017-10-06,76.08,76.3,75.76,76.3,73.4429,2659635,0.0,1.0
2017-10-05,75.54,75.89,74.83,75.32,72.4996,1854762,0.0,1.0
2017-10-04,75.2,75.5,74.66,75.4,72.5766,3880298,0.0,1.0
2017-10-03,76.55,76.65,75.15,75.16,72.3456,3317515,0.0,1.0
2017-10-02,75.81,76.48,75.52,76.34,73.4814,2356243,0.0,1.0
2017-09-30,75.01,75.46,74.4,75.25,72.4322,4989845,0.0,1.0
2017-09-29,75.35,75.37,74.86,75.12,72.3071,2961838,0.0,1.0
2017-09-28,75.08,75.35,74.61,74.85,72.0472,2688235,0.0,1.0
2017-09-27,75.8,75.86,75.08,75.1,72.2878,2552948,0.0,1.0
2017-09-26,77.03,77.27,75.74,75.81,72.9712,2003512,0.0,1.0
2017-09-23,76.2,77.05,76.18,76.62,73.7509,2170239,0.0,1.0
2017-09-22,76.0,76.89,75.9,76.07,73.2215,4104401,0.0,1.0
2017-09-21,76.0,76.34,75.65,76.29,73.4333,1621577,0.0,1.0
2017-09-20,76.95,77.3,76.28,76.28,73.4236,2185898,0.0,1.0
2017-09-19,76.75,77.03,76.67,76.69,73.8183,2991037,0.0,1.0
2017-09-16,76.0,76.63,75.95,76.28,73.4236,3774238,0.0,1.0
2017-09-15,76.75,77.1,76.14,76.75,73.8761,2968713,0.0,1.0
2017-09-14,76.9,77.0,76.21,76.55,73.6835,2788007,0.0,1.0
2017-09-13,74.65,75.95,74.62,75.92,73.0771,4825830,0.0,1.0
2017-09-12,73.5,74.39,73.5,74.26,71.4793,2813596,0.0,1.0
2017-09-09,74.05,74.11,73.2,73.24,70.4975,3349581,0.0,1.0
2017-09-08,73.85,74.44,73.83,73.98,71.2098,3214877,0.0,1.0
2017-09-07,74.22,74.28,73.48,73.7,70.9403,3618617,0.0,1.0
2017-09-06,74.4,74.59,73.59,74.59,71.7969,5131918,0.0,1.0
2017-09-05,75.1,75.29,73.63,74.41,71.6237,3810853,0.0,1.0
2017-09-02,76.0,76.2,75.08,75.48,72.6536,4684590,0.0,1.0
2017-09-01,75.27,75.96,75.16,75.8,72.9616,4751356,0.0,1.0
2017-08-31,75.7,75.78,75.04,75.37,72.5477,4795687,0.0,1.0
2017-08-30,76.0,76.08,75.3,75.73,72.8942,5740096,0.0,1.0
2017-08-29,77.49,77.49,76.47,76.68,73.8087,4353930,0.0,1.0
2017-08-26,77.2,77.87,76.97,77.72,74.8097,4825992,0.0,1.0
2017-08-25,77.62,77.97,77.23,77.55,74.6461,4899752,0.0,1.0
2017-08-24,79.11,79.25,78.01,78.21,75.2814,3888666,0.0,1.0
2017-08-23,78.4,78.66,77.93,78.66,75.7145,2779226,0.0,1.0
2017-08-22,78.84,78.84,77.59,78.41,75.4739,4785442,0.0,1.0
2017-08-19,78.5,79.26,78.33,79.09,76.1284,3307759,0.0,1.0
2017-08-18,80.45,80.62,79.16,79.55,76.5712,3543830,0.0,1.0
2017-08-17,78.16,79.84,78.15,79.84,76.8503,4991112,0.0,1.0
2017-08-16,81.93,81.95,81.14,81.25,75.0449,2846024,0.0,1.0
2017-08-15,80.84,81.69,80.75,81.31,75.1003,3023668,0.0,1.0
2017-08-12,80.42,80.8,79.95,80.5,74.3522,4740282,0.0,1.0
2017-08-11,81.26,81.7,80.82,81.05,74.8602,5300676,0.0,1.0
