timestamp,Relative_Date,Return,AV_Return,AV_Return_pct,Daily_Spread,Volume
2018-03-31,-5.0,0.0,0.14833333333333343,0.0020502652367680174,0.0,0.0
2018-04-01,-4.0,0.0,0.1224999999999999,0.0017002200696496772,0.0,0.0
2018-04-02,-3.0,0.0,0.08833333333333233,0.0012258148118509022,0.0,0.0
2018-04-03,-2.0,0.0,0.13583333333333295,0.0018816204172630302,0.0,0.0
2018-04-04,-1.0,-0.04999999999999716,0.1033333333333329,0.0014278088469582562,0.980000000000004,2576796.0
2018-04-05,0.0,0.539999999999992,0.1708333333333331,0.002345551878909317,0.9899999999999949,3646590.0
2018-04-06,1.0,1.0,0.11083333333333319,0.001538666456639276,1.5900000000000034,3530929.0
2018-04-07,2.0,-0.3100000000000023,0.0650000000000001,0.000916269208766742,0.519999999999996,2268366.0
2018-04-08,3.0,0.0,0.07083333333333286,0.0009960794883307385,0.0,0.0
2018-04-09,4.0,0.0,0.07083333333333286,0.0009960794883307385,0.0,0.0
2018-04-10,5.0,0.060000000000002274,0.07499999999999929,0.001053701762797149,0.8100000000000023,1313607.0
2018-04-11,6.0,0.8100000000000023,-0.014999999999999384,-0.00018413962674188045,1.6500000000000057,1945119.0
